00001000010010000001000100001000,0010001001000000000000010110000,000000001010100100001000000001,00001100100110010000000001000,0000100000000000001000100010,000001000011000010100000110,00010100000100010000100000,1010000000000000001000010,000000000000000000001001,00100000001000000000100,0000100001000010000000,000100000000000010000,01000000010001000000,0000110100000000000,001000000010000001,00000000000000000,0100000000000000,000100000100001,00000000100000,0100010000010,000000010001,00001010000,0000000010,101000001,01000000,0000100,010000,00000,0000,000,00,0,
00000110000000010000000001000001,0000010101000000000000100000100,000001100000010000000010000000,00100000000000100000000001110,0001000000000000101001000100,001010000100100000100000000,00000000101000010001000000,0000001000001000000000100,000100000010000000000100,01000100000000010000011,1001000000000001100000,000000010000001001000,11000000010000010000,0100001000000100000,000000001000000000,00000000000000000,0100000000100000,010011100100000,01100100001000,1000000000000,100010000000,00001000000,0010010000,100000001,00000000,0000000,000000,00010,1001,000,00,1,
00001000100000000000000010001000,1010010000000000000010000000000,000010110001100100000000000000,00101000010100000010010000000,1000000100000000010000000100,000010000010000000000001010,00000000100000100000010010,0000010000000001001000000,000001010000000000000100,00101001000000010000000,0000000010100100000000,001000011010000000001,10000000000000100000,0000010000001000000,010000000000010000,00000000000001001,0000000000000010,000000001000110,01000000100000,0100000000000,010001001000,00000100000,0010000000,110100011,10010000,0000000,011100,00001,0000,000,01,0,
00000000000100100000010010100000,0010000100000000001000000000100,100000000010010000001100000000,00000000001001000000100010001,0010000000001000000000100010,000000000000000001000110100,01000011100001000000000000,0000000111010000000000000,000000010100000010000010,00101000010001000000000,0000000001101010001001,000100000000100001010,10001100100000000000,0000000000000001100,000000000000010000,00011010100000000,0000000010000000,100000000000001,00000001000000,0001001000000,100000000000,00000010010,0000000101,000100000,00000000,0001000,010000,00000,0110,100,00,0,
00000000000001001000000000101010,0010000001001000100001011000000,000110000001000000000000000100,00000010000000111000000000010,1100010000110000000001000000,000100000001010100000000000,00000000000001000000000001,0111000000000000100010000,000110011000000010010000,01010000000000000000010,0000010000000100000000,100000001000000000000,00000000100000100000,0010000000000000011,001000001000000000,00000010000100100,0000000000001000,001000000010000,00000000110000,0010000001001,000000000000,01000100000,1000010101,000000000,10100001,0000100,000010,01000,0000,000,10,0,
00000010000010010000000001001000,0000001000001001000000000011000,000000100000000010001000001000,00010010001000000000000100010,0000010000000000100011010000,110000000000000110000000000,00000000100000010100001010,0000000001000000000100000,000000100100101000000000,00100000001000000001000,1000010100000000000000,100100000000000000001,10000000100000000101,0000100000000010010,000001000001000110,00000000000000010,0010010000000100,000000110000001,00001100000000,0001010000010,010001000000,00010000100,0000010001,001100001,10000000,0000000,000000,10000,0000,000,00,0,
00000000001000000001000000010000,0010001110000000000000100000000,010000000000001010001000000001,00100100000000000001000001010,0000000000100110000000000100,000011000000000110001000000,00000000000010000100110000,0001000000000000000001101,000001000000000101000000,01000001000000010000000,0010000000010000010000,000000000000010000001,00101000000001010000,0000100000000010001,010000001010010000,00000010010001000,1000010000100000,000000001000000,00000001100100,0000000010000,100000010110,01100000100,0000101000,000001000,00100001,0000000,000010,00000,0000,000,00,1,
00000000000000010100100000010000,0000000100000000000000100101000,000000101010010000000000000000,00000001001100000001000010100,0000000000110000000000001001,001010000000001010000000000,10000000000000011010100000,1001000000000100000100000,000000011000000101000000,00000000100010001000000,0000000101000000000000,000000010000000000101,00000011000001001010,1000000100010001000,000000000001110000,00001001100000000,0000000000010010,100001000000001,10101000000000,0000100000000,000000100010,00000001000,0010010001,000000000,10000000,0000110,000000,00000,0000,001,10,0,
10100000000100000000001000000000,0000100000000000000100011000000,000110001000000000000000001010,10001000000010001000000000000,0101000000000000000100100000,000010010100000100000001000,00000000001000000000010100,0010100010000000101000000,111000000000000000000001,00000000100010001001100,0000000000000000010000,010000010000000000010,00001000010000000001,1001010000001000000,001100000110000000,10000001010000000,0000000010000100,000000000000101,01000000000000,0010000010000,100000010010,00100001001,0010111000,100010000,00100000,0000010,000000,00000,0000,000,00,0,
00000001100110000000001010001000,0110000010100000000000000010000,000000101000000100000000010000,01000000000000100000100000100,0100100000000000000000100000,000100000011000000000000001,10000000000010001000100101,0011001000000001000000000,000100000000000000000110,00001010000000000000000,1000001000000011000000,000000000000100001000,00000000010000000001,0000000001000010000,000001110000000000,10000010000101000,0000000000000010,010100000000000,01001001000000,1000000011100,000001001000,00100100010,0000000001,000000000,00001010,1100000,000011,00000,0010,000,00,0,
