11001010010110111100,10011111011100001001,01000101101110001111,11101011000001001111,00011110100001101101,01000110011001111010,10010110010111000110,01110000110101101011,00100111000100110101,11101100001111100001,11001100110000010011,10101100111101011100,10011011101101110010,10000001110011111001,00111101000010111010,11110010101010011001,01011001011011010101,01101111110111000000,00101010111010100111,11110101111000100100
11101110101000110000,01001010011011010110,00110110110010011100,00110001011010110011,00111101001111100100,01100011000101011000,01101100011110001011,01010100100101010111,00001010100011101011,10111000001001011101,10000111001110011101,11110010010110100101,10001001110100111110,01011111000000101111,10100111110001000111,10010110011101101010,11110001101010001010,00011011111100000001,11011101010011010001,01000001111001101101
11001011101100011001,10010111010001010100,00100010111111010111,01001101110100000111,01111011011001001011,11000100011101111010,00010101100111011011,10011000011010111111,10000111001010100011,01110101001000110101,00101111110000111010,10110101101100001110,11111110000110010010,11100100110010001001,11101001000011011110,01011110101011001100,11010010100001100111,10111001111111100000,01010011010110101100,10101110000101101101
10011000110110101110,01101001101100110010,00111111010100000111,11111001110001011000,11100001011110001101,10101110100101101001,00110101000111110100,11001100011101011110,01010101101001100111,11100110010010100010,10000011000000111111,01111010001000101100,00100010111011011110,01001011000111001010,10111000001011010011,00001101011010111001,01001010110111110101,10001111101010000100,10010011011101100000,01010110101110011001
11110001010100101110,01100101011110010100,01011001001101001001,10101011000101010111,01001010001110101110,00110100100111000010,10111111101000011000,11000001100011011010,11001110110101100000,01011111010010000011,00010011100110110001,11100100001000110011,01010010111001010110,00011100010011111101,10010111001011100100,10000101111100001111,00101001111011100010,01100111100001101101,11111000100010000101,10100010011111001001
11010011000011000110,00110010101000011101,00111111000110010011,10000101001101011111,00010100110010100111,10100011110101110100,00011001110101001001,11011000010100111100,10001110100011111001,00101010001111101110,11001011011000100011,01100000010011011011,10111100111001010010,01010001101110110010,01101101100000101110,10110101011010101000,11101000101110000101,11000110110110001010,01110110001101100001,01001111011011010100
11000001010101101011,00111001011001100101,10011000110111011100,01001110000111110101,00100011110010111001,01110101000011001110,10111110100110100010,11010011101001110000,11110010001100001101,00100100101101011011,10000010111011000111,01011110110001001000,01011000101010111011,01010101111110000001,01101011110100010110,11101100011010010000,10011111000000010011,11110100110000110101,10001101101000101100,00010110011100111110
11011101000011001001,11110000101101010111,10011010100000111011,11100011111010110000,01110110110010001110,10101100101010000101,10100100110101101001,01101000001110111011,11001000011001101110,10111011011100001101,00111001100111100110,01111110010001110101,01001010111111000001,11000111000110100111,10011100010110010010,00010101111000100011,00101111001001010010,00010110001111111100,01001101100100011100,00000001010011011111
01011100011111010100,00001011001110111111,10011010101001101100,00110111011100100110,01111010010001110011,10101110111010010010,10101101001001110001,11101110100110100101,00110001100011010101,10100110010111111000,11101111000011001110,01101001111010101000,11110000001100011011,10011001100111100010,01011111100100011000,10011101010010001001,01010110101011101011,00101100110101001111,11000011111101000001,11000101110000111110
00000001111111111100,10101001001100011111,10110000101011000110,10111011110110010000,11010011001110101011,00001111101011110011,00111111001000101100,11100110100101100101,10001110010111001110,01101010011101100010,10110110011001011001,00110101110101001011,01011010100001011111,11100101000011111010,11000111111000010110,01011101001111010100,01101100111010001001,11011001010001100101,00110100010110110111,10011100101100111010
10001001011100101110,11110101001011001010,10111110101110000100,10110000110010111001,10110010011001000111,00101101110101010010,10000011101001011001,00100011000110011111,01111001100001101101,01010100111100011101,01011010111010011010,11101110001000110011,11000000100111110110,11001110010111001001,00011001001111110001,00100110011011111100,01100011111100100000,11010111010000110100,00000101111010100111,00010110100101101010
10111010011101000100,11100100011000111110,00011101011011111000,01110100000101001111,01001011101001101010,01100111101111010000,11100001110111101101,11001111010100011001,10110011000001110011,01111111000010100100,10111101101110001010,01111000101100110001,11010110110011000011,00000111011110100111,11010011001010011101,01010001110100010110,10010110100100111100,10001101101001010101,11001000000111110110,00101010110010011111
01111001001111100100,11100101110010000110,00110111010001010001,10001111101101001101,01001111000110110011,01001100010001101111,00100110001011011110,10111010100010110101,10010001100011111010,11110100000100011111,10111001011010001011,01111110100000001010,01100001111000111001,00100011010100101110,01010010111111000011,11011011011000010110,10101100111101110010,00011100110110011100,11101010010111011000,11010110011010101000
00001110001011111001,10101010010101011010,01000011100101111101,01100100011011001111,01110000111110111000,11111111010000101001,10110101100111001000,11010010000011101110,10111000001101100101,11101100100001110010,10000101011110110110,10011000110010011101,11001011111011000000,00101011100010100110,01011001000111010011,00011001111001101010,00010110110111100011,00110111010001010100,10110011101000010011,01011110101100001110
01100010110111001111,11001001101011101000,10110111001111000001,10000101111100000110,01111001101110010110,11010010101000010011,11001110000110011010,10101111100000011101,10110100100001111010,10101000011100101011,00011010111101011000,01101111010001100010,00011110001010101111,11010011000100101100,01110101011010011001,11011100110110100001,10011001010011010111,10100010011010110100,01000100001101110101,00000011100110110011
00000110011111000111,00101110100110110100,10100100101111101010,10001111100001001101,10010010010100101110,01100010110010001011,11000011101100010010,01111110001100101001,00000111111001111000,00111001110101000010,11101001011011100100,01001001000111111011,11010101110110100001,11100100010101011100,11011110000011010010,10110011000111110001,10011000111110011001,10101100010000110011,01010000101001110111,00110101001010011110
11000000111001101100,11110011111100000001,01001010101000011111,11101100001101000011,10001010110110100010,00011001101101100111,10111111010000001110,00110110100011101001,00001111111101011000,10000101110011010101,01101001111011000010,01100011010101111011,01000111001110100100,01111100110100110100,11010101100110011010,10110010001111010110,01011000010111001101,11011011000001110000,00010100011010110011,10101001001110111001
